step:3975/4768 | loss 0.110634 | train_time:17073.73s | step_avg:4294.20ms
step:3976/4768 | loss 0.111852 | train_time:17078.01s | step_avg:4294.19ms
step:3977/4768 | loss 0.109808 | train_time:17082.28s | step_avg:4294.19ms
step:3978/4768 | loss 0.110141 | train_time:17086.57s | step_avg:4294.19ms
step:3979/4768 | loss 0.109899 | train_time:17090.84s | step_avg:4294.18ms
step:3980/4768 | loss 0.110632 | train_time:17095.12s | step_avg:4294.18ms
step:3981/4768 | loss 0.111285 | train_time:17099.41s | step_avg:4294.18ms
step:3982/4768 | loss 0.109681 | train_time:17103.69s | step_avg:4294.17ms
step:3983/4768 | loss 0.110364 | train_time:17107.96s | step_avg:4294.17ms
step:3984/4768 | loss 0.109378 | train_time:17112.24s | step_avg:4294.16ms
step:3985/4768 | loss 0.111332 | train_time:17116.52s | step_avg:4294.16ms
step:3986/4768 | loss 0.109778 | train_time:17120.80s | step_avg:4294.16ms
step:3987/4768 | loss 0.111167 | train_time:17125.08s | step_avg:4294.15ms
step:3988/4768 | loss 0.109863 | train_time:17129.36s | step_avg:4294.15ms
step:3989/4768 | loss 0.109143 | train_time:17133.64s | step_avg:4294.14ms
step:3990/4768 | loss 0.110527 | train_time:17137.92s | step_avg:4294.14ms
step:3991/4768 | loss 0.112394 | train_time:17142.20s | step_avg:4294.14ms
step:3992/4768 | loss 0.109447 | train_time:17146.48s | step_avg:4294.13ms
step:3993/4768 | loss 0.109923 | train_time:17150.76s | step_avg:4294.13ms
step:3994/4768 | loss 0.112209 | train_time:17155.03s | step_avg:4294.13ms
step:3995/4768 | loss 0.110064 | train_time:17159.31s | step_avg:4294.12ms
step:3996/4768 | loss 0.110022 | train_time:17163.60s | step_avg:4294.12ms
step:3997/4768 | loss 0.109477 | train_time:17167.88s | step_avg:4294.12ms
step:3998/4768 | loss 0.108589 | train_time:17172.16s | step_avg:4294.11ms
step:3999/4768 | loss 0.109608 | train_time:17176.43s | step_avg:4294.11ms
step:4000/4768 | loss 0.111001 | train_time:17180.71s | step_avg:4294.10ms
step:4001/4768 | loss 0.108993 | train_time:17184.99s | step_avg:4294.10ms
step:4002/4768 | loss 0.110537 | train_time:17189.27s | step_avg:4294.10ms
step:4003/4768 | loss 0.109609 | train_time:17193.55s | step_avg:4294.09ms
step:4004/4768 | loss 0.110914 | train_time:17197.83s | step_avg:4294.09ms
step:4005/4768 | loss 0.109089 | train_time:17202.56s | step_avg:4294.20ms
step:4006/4768 | loss 0.110237 | train_time:17206.84s | step_avg:4294.19ms
step:4007/4768 | loss 0.111579 | train_time:17211.12s | step_avg:4294.19ms
step:4008/4768 | loss 0.109791 | train_time:17215.40s | step_avg:4294.19ms
step:4009/4768 | loss 0.107676 | train_time:17219.68s | step_avg:4294.18ms
step:4010/4768 | loss 0.109498 | train_time:17223.96s | step_avg:4294.18ms
step:4011/4768 | loss 0.110121 | train_time:17228.24s | step_avg:4294.18ms
step:4012/4768 | loss 0.108888 | train_time:17232.52s | step_avg:4294.17ms
step:4013/4768 | loss 0.110330 | train_time:17236.80s | step_avg:4294.17ms
step:4014/4768 | loss 0.110659 | train_time:17241.08s | step_avg:4294.17ms
step:4015/4768 | loss 0.108483 | train_time:17245.36s | step_avg:4294.16ms
step:4016/4768 | loss 0.111388 | train_time:17249.64s | step_avg:4294.16ms
step:4017/4768 | loss 0.107809 | train_time:17253.91s | step_avg:4294.15ms
step:4018/4768 | loss 0.109295 | train_time:17258.19s | step_avg:4294.15ms
step:4019/4768 | loss 0.107377 | train_time:17262.46s | step_avg:4294.14ms
step:4020/4768 | loss 0.108972 | train_time:17266.74s | step_avg:4294.14ms
step:4021/4768 | loss 0.111286 | train_time:17271.01s | step_avg:4294.14ms
step:4022/4768 | loss 0.108124 | train_time:17275.29s | step_avg:4294.13ms
step:4023/4768 | loss 0.109514 | train_time:17279.57s | step_avg:4294.13ms
step:4024/4768 | loss 0.109215 | train_time:17283.85s | step_avg:4294.13ms
step:4025/4768 | loss 0.107159 | train_time:17288.13s | step_avg:4294.12ms
step:4026/4768 | loss 0.111337 | train_time:17292.42s | step_avg:4294.12ms
step:4027/4768 | loss 0.110389 | train_time:17296.70s | step_avg:4294.12ms
step:4028/4768 | loss 0.110367 | train_time:17300.98s | step_avg:4294.11ms
step:4029/4768 | loss 0.110594 | train_time:17305.26s | step_avg:4294.11ms
step:4030/4768 | loss 0.112773 | train_time:17309.54s | step_avg:4294.11ms
step:4031/4768 | loss 0.108731 | train_time:17313.82s | step_avg:4294.10ms
step:4032/4768 | loss 0.110676 | train_time:17318.10s | step_avg:4294.10ms
step:4033/4768 | loss 0.109205 | train_time:17322.38s | step_avg:4294.10ms
step:4034/4768 | loss 0.110132 | train_time:17326.66s | step_avg:4294.09ms
step:4035/4768 | loss 0.111477 | train_time:17330.94s | step_avg:4294.09ms
step:4036/4768 | loss 0.109955 | train_time:17335.23s | step_avg:4294.09ms
step:4037/4768 | loss 0.109929 | train_time:17339.50s | step_avg:4294.08ms
step:4038/4768 | loss 0.110234 | train_time:17343.79s | step_avg:4294.08ms
step:4039/4768 | loss 0.108340 | train_time:17348.07s | step_avg:4294.08ms
step:4040/4768 | loss 0.109968 | train_time:17352.35s | step_avg:4294.07ms
step:4041/4768 | loss 0.109469 | train_time:17356.63s | step_avg:4294.07ms
